var,len,start,description
U120CANTFZ,2,413,"Consumo de fruta fresca o zumo natural de frutas o verduras: Cantidad 01 a 10"
V121,1,415,"¿Fuma actualmente?"
V123,2,416,"Fumadores a diario: Número de cigarrillos que fuma al día 01 a 90"
V124,2,418,"Fumadores a diario: Edad en que comenzó a fumar 06 a 90"
V124a,1,420,"Ex fumador diario"
V124b,2,421,"Fumador o ex fumador diario: tiempo como fumador  (doble enunciado)"
V126,1,423,"Frecuencia de exposición a ambientes de humo en lugares cerrados"
V126a,1,424,"Frecuencia diaria  exposición a ambientes de humo en lugares cerrados"
V126b,1,425,"Uso cigarrillos o aparatos electrónicos"
V126c,1,426,"Frecuencia uso cigarrillos electronicos o similares"
W127,2,427,"Frecuencia de consumo de alcohol en los últimos 12 meses"
W128Cer,1,429,"Consumo de cerveza con alcohol"
W128Cer_1,2,430,"Consumo de cerveza con alcohol: Lunes (00 a 50)"
W128Cer_2,2,432,"Consumo de cerveza con alcohol: Martes 00 a 50"
W128Cer_3,2,434,"Consumo de cerveza con alcohol: Miércoles (00 a 50)"
